Split: test
Completion Prompt:
id | context | question | answers
---|---------|----------|--------
1 | Wound care encourages and speeds wound healing via cleaning and protection from reinjury or infection. Depending on each patient ' s needs, it[MASK] | What is a way to increase[MASK] | [MASK]
2 | Brothers Amos and Wilfrid Ayre founded Burntisland Shipbuilding Co. in 1918 as a First World War emergency shipyard. [ 1 ] Its yard at Burntisland West Dock had four berths and capacity to build ships up to 450 feet ( 140m[MASK] | Who founded the Burntis[MASK] | [MASK]
3 | The cerebral cortex is folded in a way that allows a large surface area of neural tissue to fit within the confines of the neurocranium. When unfolded, each hemispheric cortex has a total surface area of about 1. 3 square feet ( 0. 12m2 ). [ 5 ] The folding is inward away from the[MASK] | What is the surface area[MASK] | [MASK]
4 | Guinness World Records lists Christie as the best - selling novelist of all time. Her novels have sold roughly 2 billion copies, and her estate claims that her works come third in the rankings of the world ' s most - widely published books, [ 6 ] behind only Shakespeare ' s works and the Bible. According to Index Translationum, she remains the most - translated individual author, having been translated into at least 103 languages. [ 7 ] And Then There Were None is Christie '[MASK] | How many units has[MASK] | [MASK]
5 | The town was conquered by Ordoño II of Leon for Navarre in 923. Nájera was the capital city of the kingdom of Navarre until it was conquered by Castile in 1054 after the battle of Atapuerca. However, it continued to be multi - cultural. For example[MASK] | When was N[MASK] | [MASK]
6 | The political party was established during the Sivas Congress in 1919 as a union of resistance groups against the Greek invasion of Anatolia. The union represented Turkish people as a unified front during the Turkish War of Independence ( 1919 [UNK] 1923 ). On 9 September 1923, the " People ' s[MASK] | When was the Republican People '[MASK] | [MASK]
7 | Operation Overlord was the codename for the Battle of Normandy, the Allied operation that launched the successful invasion of German - occupied Western Europe during World War II. The operation was launched on 6 June 1944 with the Normandy landings ( Operation Neptune, commonly known as D - Day )[MASK] | When was the[MASK] | [MASK]
8 | The four national languages of Switzerland are German, French, Italian and Romansh. [ 3 ] All but Romansh maintain equal status as official languages at the national[MASK] | What are the official[MASK] | [MASK]
9 | The common cold, also known simply as a cold, is a viral infectious disease of the upper respiratory tract that primarily affects the nose. [ 7 ] The throat, sinuses, and larynx may also be affected. [ 5 ] Signs and symptoms may appear less than two days after exposure to the virus. [ 5 ][MASK] | How long does a[MASK] | [MASK]
10 | Elizabeth was born in London as the first child of the Duke and Duchess of York, later King George VI and Queen Elizabeth, and she was educated privately at home. Her father acceded to the throne on the abdication of his brother King Edward VIII in 1936, from which time she was the heir presumptive. She began to undertake[MASK] | Who was Queen Elizabeth[MASK] | [MASK]

Model's Response:
id | context | question | answers
---|---------|----------|--------
1 | Wound care encourages and speeds wound healing via cleaning and protection from reinjury or infection. Depending on each patient's needs, it may involve[MASK] | What is a way to increase wound healing? | [MASK]
2 | Brothers Amos and Wilfrid Ayre founded Burntisland Shipbuilding Co. in 1918 as a First World War emergency shipyard. [1] Its yard at Burntisland West Dock had four berths and capacity to build ships up to 450 feet (140m) in length. | Who founded the Burntisland Shipbuilding Co.? | [MASK] and Wilfrid Ayre
3 | The cerebral cortex is folded in a way that allows a large surface area of neural tissue to fit within the confines of the neurocranium. When unfolded, each hemispheric cortex has a total surface area of about 1.3 square feet (0.12m2). [5] The folding is inward away from the surface of the brain, and the[ MASK] increases the surface area. | What is the surface area of each hemispheric cortex? | folding
4 | Guinness World Records lists Christie as the best-selling novelist of all time. Her novels have sold roughly 2 billion copies, and her estate claims that her works come third in the rankings of the world's most-widely published books,[6] behind only Shakespeare's works and the Bible. According to Index Translationum, she remains the most-translated individual author, having been translated into at least 103 languages. [7] And Then There Were None is Christie's best-selling novel, with 100 million sales to date. | How many units has Christie's best-selling novel sold? | 100 million
5 | The town was conquered by Ordoño II of Leon for Navarre in 923. Nájera was the capital city of the kingdom of Navarre until it was conquered by Castile in 1054 after the battle of Atapuerca. However, it continued to be multi-cultural. For example, the[ MASK] was built in the 16th century by the Moors. | When was Nájera conquered by Castile? | [MASK]
6 | The political party was established during the Sivas Congress in 1919 as a union of resistance groups against the Greek invasion of Anatolia. The union represented Turkish people as a unified front during the Turkish War of Independence (1919-1923). On 9 September 1923, the "People's Party" was founded and Mustafa Kemal Atatürk became its first leader. It later[MASK] | When was the Republican People's Party founded? | [MASK]
7 | Operation Overlord was the codename for the Battle of Normandy, the Allied operation that launched the successful invasion of German-occupied Western Europe during World War II. The operation was launched on 6 June 1944 with the Normandy landings (Operation Neptune, commonly known as D-Day) and[MASK] | When was the Battle of Normandy launched? | [MASK]
8 | The four national languages of Switzerland are German, French, Italian and Romansh. [3] All but Romansh maintain equal status as official languages at the national level. | What are the official national languages of Switzerland? | German, French, Italian
9 | The common cold, also known simply as a cold, is a viral infectious disease of the upper respiratory tract that primarily affects the nose. [7] The throat, sinuses, and larynx may also be affected. [5] Signs and symptoms may appear less than two days after exposure to the virus. [5] The duration of the cold is typically[MASK] | How long does a common cold typically last? | [MASK]
10 | Elizabeth was born in London as the first child of the Duke and Duchess of York, later King George VI and Queen Elizabeth, and she was educated privately at home. Her father acceded to the throne on the abdication of his brother King Edward VIII in 1936, from which time she was the heir presumptive. She began to undertake public duties during the Second World War, serving in[MASK] | Who was Queen Elizabeth educated by? | privately at home
Ground Truth:
id | context | question | answers
---|---------|----------|--------
1 | Wound care encourages and speeds wound healing via cleaning and protection from reinjury or infection. Depending on each patient's needs, it can range from the simplest first aid to entire nursing specialties such as wound, ostomy, and continence nursing and burn center care. | What is a way to increase your wound healing speed? | {'text': ['Wound care'], 'answer_start': [0]}
2 | Brothers Amos and Wilfrid Ayre founded Burntisland Shipbuilding Co. in 1918 as a First World War emergency shipyard.[1] Its yard at Burntisland West Dock had four berths and capacity to build ships up to 450 feet (140m) long[1] and up to 59 feet (18m) beam.[3] However, until the 1950s Burntisland built relatively few vessels more than about 425 feet (130m) long and 57 feet (17.4m) beam.[3] | Who founded the Burntisland Shipbuilding Company? | {'text': ['Amos and Wilfrid Ayre', 'Amos and Wilfrid Ayre'], 'answer_start': [9, 9]}
3 | The cerebral cortex is folded in a way that allows a large surface area of neural tissue to fit within the confines of the neurocranium. When unfolded, each hemispheric cortex has a total surface area of about 1.3 square feet (0.12m2).[5] The folding is inward away from the surface of the brain, and is also present on the medial surface of each hemisphere within the longitudinal fissure. Most mammals have a cerebral cortex that is convoluted with the peaks known as gyri and the troughs or grooves known as sulci. Some small mammals including some small rodents have smooth cerebral surfaces without gyrification.[3] | What is the surface area of the human cortex? | {'text': ['1.3 square feet'], 'answer_start': [210]}
4 | Guinness World Records lists Christie as the best-selling novelist of all time. Her novels have sold roughly 2 billion copies, and her estate claims that her works come third in the rankings of the world's most-widely published books,[6] behind only Shakespeare's works and the Bible. According to Index Translationum, she remains the most-translated individual author, having been translated into at least 103 languages.[7] And Then There Were None is Christie's best-selling novel, with 100 million sales to date, making it the world's best-selling mystery ever, and one of the best-selling books of all time.[8] Christie's stage play The Mousetrap holds the world record for longest initial run. It opened at the Ambassadors Theatre in the West End on 25 November 1952, and as of September 2018 is still running after more than 27,000 performances.[9][10] | How many units has Agatha Christie sold? | {'text': ['2 billion copies', '2 billion copies'], 'answer_start': [109, 109]}
5 | The town was conquered by Ordoño II of Leon for Navarre in 923. Nájera was the capital city of the kingdom of Navarre until it was conquered by Castile in 1054 after the battle of Atapuerca. However, it continued to be multi-cultural. For example, in 1142 the French abbot Peter the Venerable used his visit to Spain to commission translations of important Islamic works, including the first translation of the Qur'an into a European language, and it has been suggested he met with his four translators at Nájera. | When was Nájera established? | {'text': ['923'], 'answer_start': [59]}
6 | The political party was established during the Sivas Congress in 1919 as a union of resistance groups against the Greek invasion of Anatolia. The union represented Turkish people as a unified front during the Turkish War of Independence (1919–1923). On 9 September 1923, the "People's Party" declared itself to be a political organization and on 29 October 1923, announced the establishment of the Turkish Republic. On 10 November 1924, the People's Party renamed itself the "Republican People's Party" (CHP) as Turkey moved into a one-party period. | When was the Republican People's Party formed in Turkey? | {'text': ['1919', '1919'], 'answer_start': [65, 65]}
7 | Operation Overlord was the codename for the Battle of Normandy, the Allied operation that launched the successful invasion of German-occupied Western Europe during World War II. The operation was launched on 6 June 1944 with the Normandy landings (Operation Neptune, commonly known as D-Day). A 1,200-plane airborne assault preceded an amphibious assault involving more than 5,000 vessels. Nearly 160,000 troops crossed the English Channel on 6 June, and more than two million Allied troops were in France by the end of August. | When was the Normandy Campaign? | {'text': ['6 June 1944', '6 June 1944'], 'answer_start': [208, 208]}
